FID,grid_code
0,3.0797901
1,3.0797901
2,4.5587902
3,4.7218399
4,8.2521400
5,6.8068700
6,6.3350501
7,8.4863100
8,5.3732300
9,4.7424402
10,3.2728601
11,6.8799100
12,6.7357001
13,7.6014099
14,6.0821800
15,6.0000000
16,6.0000000
17,6.0000000
18,5.3902998
19,7.8865800
20,6.8164601
21,3.0549500
22,6.7238598
23,3.0549500
24,6.1837602
25,7.9607902
26,5.1800599
27,6.8785000
28,5.9344101
29,5.9344101
30,4.7992001
31,5.1121402
32,4.7300000
33,4.9978199
34,6.2659001
35,5.9344101
36,4.5198898
37,5.2469802
38,4.1188402
39,5.2666502
40,5.1739898
41,6.0089998
42,5.4052501
43,5.9344101
44,2.4803300
45,4.0685401
46,5.0000000
47,4.0000000
48,4.0000000
49,4.0000000
50,5.1801600
51,6.0028000
52,5.0000200
53,8.2660398
54,5.9344301
55,3.0000000
56,3.9888501
57,4.5511098
58,5.9766002
59,4.4265099
60,4.0000000
61,4.0000000
62,4.0000000
63,4.9694099
64,4.9998999
65,7.3186998
66,6.8169398
67,4.2553401
68,4.9324698
69,6.7336102
70,8.1559896
71,6.7508502
72,5.6069999
73,5.2617898
74,4.6072998
75,7.3283501
76,4.0000000
77,5.1819401
78,3.1590700
79,1.9610600
80,3.8209600
81,3.9218400
82,4.9423199
83,3.0415900
84,4.5422001
85,4.9438300
86,4.9147401
87,4.0000000
88,5.1841402
89,1.9459400
90,1.9459400
91,1.9459400
92,1.9459400
93,1.9459400
94,2.7101901
95,4.4056702
96,4.4912901
97,3.9959800
98,4.0000000
99,6.9484701
100,1.9459400
101,2.9998901
102,3.7109399
103,2.2263601
104,1.9534500
105,3.3587000
106,3.7234499
107,4.6413002
108,4.6471500
109,3.8329799
110,5.1153002
111,2.5226500
112,1.9459400
113,1.9459400
114,3.0683899
115,1.9459400
116,1.9459900
117,4.1315598
118,4.3590899
119,3.0000000
120,3.0596900
121,5.1605501
122,5.8260298
123,2.0606401
124,2.0448101
125,1.9459400
126,4.0503702
127,2.1635900
128,1.9459400
129,2.4441299
130,4.0115199
131,3.0000000
132,4.8543401